Generic_controlled_vocabulary,Specific_controlled_vocabulary,Aliases
_TTRPG,,tabletop role-playing game; TRPG; pen and paper RPG
_LARP,,
_LARP,_megagame,
_LARP,_murder party,
_LARP,_nordic larp,
_CYOA,,interactive fiction; ldvelh; livre-jeu; gamebook; ergodic
_OTHER GAMES,,
_OTHER GAMES,_boardgame,card game
_OTHER GAMES,_computer rpg,morpg; virtual reality; ARG; alternate reality games
_OTHER GAMES,_cosplay,
_OTHER GAMES,_matrix game,
_OTHER GAMES,_miniature,doll; puppet; toy
_OTHER GAMES,_pbem,play by post; email; forum
_OTHER GAMES,_pretend play,make-believe; prop theory
_OTHER GAMES,_storygame,
_OTHER GAMES,_wargame,
_OTHER GAMES,_werewolf,mafia
_LEARNING,,
_LEARNING,_assertiveness,
_LEARNING,_attitude change,prevention; sensibilization; awareness
_LEARNING,_benefits of rpg,
_LEARNING,_classroom rpg,
_LEARNING,_curriculum,program
_LEARNING,_debriefing,
_LEARNING,_decision making,decision forecast
_LEARNING,_motivation,engagement; commitment
_LEARNING,_flow,
_LEARNING,_information literacy,information retrieving; information seeking; critical thinking
_LEARNING,_language learning,
_LEARNING,_leadership,management; team building
_LEARNING,_negotiation,diplomacy; debating; convincing; deliberation
_LEARNING,_oral communication,expression
_LEARNING,_reading,
_LEARNING,_roleplayification,rpg gamification
_LEARNING,_rttp,reacting through the past
_LEARNING,_self-advocacy,
_LEARNING,_self-determination,
_LEARNING,_self-efficacy,self-competence
_LEARNING,_self-reflection,locus of control; meta cognition in general
_LEARNING,_simulated patient,standardized patient
_LEARNING,_simulation,realism
_LEARNING,_soft skills,social skills
_LEARNING,_task resolution,problem solving
_LEARNING,_teaching,
_LEARNING,_teamwork,
_LEARNING,_writing,
_HISTORY OF RPG,,
_HISTORY OF RPG,_braunstein,
_HISTORY OF RPG,_gygax,
_HISTORY OF RPG,_moral panic,
_HISTORY OF RPG,_osr,
_HISTORY OF RPG,_proto-cyoa,
_HISTORY OF RPG,_proto-history of rpg,Braunstein; Arneson
_HISTORY OF RPG,_the forge,
_PSYCHOLOGY,,neuroscience
_PSYCHOLOGY,_autism,
_PSYCHOLOGY,_bias,
_PSYCHOLOGY,_cognition,memory; process; logic
_PSYCHOLOGY,_creativity,inspiration; divergent thinking; imagination; thought experiment
_PSYCHOLOGY,_de-roling,
_PSYCHOLOGY,_disability,accessibility
_PSYCHOLOGY,_hypnosis,
_PSYCHOLOGY,_identity,avatar; character identification; mask; narration de soi; self-narrative
_PSYCHOLOGY,_mental disorder,depression
_PSYCHOLOGY,_personality,extravert; introvert; ego development
_PSYCHOLOGY,_psychoanalysis,psychodrama; sociodrama
_PSYCHOLOGY,_therapy,group therapy
_PSYCHOLOGY,_transformative,pivotal play
_EMOTIONS,,
_EMOTIONS,_anxiety,stress
_EMOTIONS,_belonging,connectedness; loneliness; complicity; friendship; care; spotlight; hope
_EMOTIONS,_bleed,player-PC relation
_EMOTIONS,_confidence,trust
_EMOTIONS,_distantiation,irony; magic circle; liminality; cognitive quarantine
_EMOTIONS,_embodiment,synesthesia
_EMOTIONS,_empathy,theory of mind; perspective taking
_EMOTIONS,_escapism,vies non-vécues
_EMOTIONS,_fear,horror
_EMOTIONS,_nostalgia,
_EMOTIONS,_sex-transgressive,edgework; extreme xp
_EMOTIONS,_immersion,suspension of disbelief; transportation; flow; re-enchantment; disenchantment
_EMOTIONS,_well-being,care
_SOCIOLOGY,,
_SOCIOLOGY,_anthropology,Folklore studies; mythology; patrimoine
_SOCIOLOGY,_conspiracy theory,
_SOCIOLOGY,_minority,exclusion; racism; diversity; colonialism; social justice; decolonial
_SOCIOLOGY,_cultural transmission,culture; evopsy
_SOCIOLOGY,_expectation,
_SOCIOLOGY,_family,
_SOCIOLOGY,_fandom,community
_SOCIOLOGY,_gender,male; female; feminism; sexism; masculinism; representation
_SOCIOLOGY,_lgbtq,
_SOCIOLOGY,_religion,theology; spirituality; belief
_SOCIOLOGY,_refugee,
_SOCIOLOGY,_ritual,
_SOCIOLOGY,_role taking,role clarity
_SOCIOLOGY,_stereotype,cliché; stigmatisation; depiction / see translation
_ GAMEPLAY,,dynamic of play
_ GAMEPLAY,_advice,
_ GAMEPLAY,_improvisation,
_ GAMEPLAY,_group dynamics,interpersonal relations
_ GAMEPLAY,_playfulness,joy; pleasure; fun
_ GAMEPLAY,_collaborative,co-creation; intercréativité
_ GAMEPLAY,_conflict,consensus
_ GAMEPLAY,_conversation,dialogue; discourse; Ellipse; description; information exchange; rhetoric
_ GAMEPLAY,_GMing,Game master; adjudication; referee; ruling
_ GAMEPLAY,_GMless,
_ GAMEPLAY,_esthetical play,contemplative; chill; losing control; let it go
_ GAMEPLAY,_failure,play to lose
_ GAMEPLAY,_fairness,
_ GAMEPLAY,_hospitality,hosting; invitation
_ GAMEPLAY,_power gaming,Gros Bill; power player
_ GAMEPLAY,_metagame,layer of play; framing
_ GAMEPLAY,_moral play,morality; ethics
_ GAMEPLAY,_new player,initiation; peer entry
_ GAMEPLAY,_problematic,antisocial; abuse
_ GAMEPLAY,_reward,point system; XP; incentives; karma; fate
_ GAMEPLAY,_safe space,
_ GAMEPLAY,_social contract,
_ GAMEPLAY,_workshop pre-game,atelier d’échauffement avant le jeu; briefing; pre-teaching
_ GAMEPLAY,_information gap,uncertainty; transparency; manipulation; hidden information; lie; opacity; transparency; fog of war
_MEDIA,,communication studies
_MEDIA,_actual play,Critical role
_MEDIA,_adaptation,emulation
_MEDIA,_ai ml llm,artificial intelligence; machine learning; large language model
_MEDIA,_art,
_MEDIA,_authorship,
_MEDIA,_canon,
_MEDIA,_cease&desist,
_MEDIA,_copyright,CC; public domain
_MEDIA,_censorship,
_MEDIA,_fanfiction,
_MEDIA,_cinema,
_MEDIA,_club,game bar; convention
_MEDIA,_museum,
_MEDIA,_theater,play for performance
_MEDIA,_piracy,photocopy
_MEDIA,_podcast,
_MEDIA,_prison,
_MEDIA,_publishing,independent; industry; market
_MEDIA,_virtual table,remote play
